,id,Age,Sex,Education,Work,EmploymentStatus,Income,Living,State,Religion,ReligiousCaste,PoliticalAffiliation,Vote,trust,V4,prompt,completion,matched,check_manually,completion.1,matched.1,check_manually.1,X.1,completion.2,matched.2,check_manually.2,resampled,id_sampleno,match_vote_outcome,vote_gpt
19,21,25,male,primary education,currently,in paid work,35000,country village,Bihar,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,NA,1,"I am 25 and I am a male. I have a primary education. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,21_,TRUE,BJP
20,22,27,female,bachelor,currently,in paid work,15000,country village,Bihar,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,little trust,2,"I am 27 and I am a female. I have a bachelor. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I likely voted for BJP.,BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,22_,TRUE,BJP
21,23,49,male,bachelor,never,Other,35000,country village,Bihar,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,complete trust,3,"I am 49 and I am a male. I have a bachelor. I am Other. My personal income is about 35000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I probably voted for BJP.,BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,23_,TRUE,BJP
22,24,38,male,lower secondary education,currently,in paid work,15000,country village,Bihar,Hindu,Others,Right / conservative,BJP,little trust,2,"I am 38 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,24_,TRUE,BJP
23,25,36,female,bachelor,currently,in paid work,35000,country village,Bihar,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,moderate trust,2,"I am 36 and I am a female. I have a bachelor. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,25_,TRUE,BJP
24,26,24,male,bachelor,never,unemployed and looking for a job,15000,country village,Bihar,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,NA,2,"I am 24 and I am a male. I have a bachelor. I am unemployed and looking for a job. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,26_,TRUE,BJP
25,27,22,female,lower secondary education,never,in domestic work,15000,country village,Bihar,Hindu,Others,Right / conservative,BJP,NA,2,"I am 22 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,27_,TRUE,BJP
26,28,26,male,lower secondary education,currently,in paid work,15000,country village,Bihar,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,little trust,1,"I am 26 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,28_,TRUE,BJP
27,29,48,female,no education,never,Other,15000,country village,Bihar,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,complete trust,2,"I am 48 and I am a female. I have a no education. I am Other. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I voted for BJP.,BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,29_,TRUE,BJP
28,30,35,female,bachelor,currently,in paid work,35000,country village,Bihar,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,moderate trust,1,"I am 35 and I am a female. I have a bachelor. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,30_,TRUE,BJP
29,31,39,female,upper secondary education,currently,in paid work,15000,country village,Bihar,Hindu,OBC (Other Backward Classes),Center / liberal,Regional Party,moderate trust,1,"I am 39 and I am a female. I have a upper secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I cannot predict or assume personal actions or decisions such,cannot,1,I cannot provide real-time or future actions based on,cannot,1,4,I predict you voted for a Regional Party.,Regional Party,0,1,31_,TRUE,No vote
30,32,48,female,upper secondary education,currently,in paid work,15000,country village,Bihar,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,little trust,2,"I am 48 and I am a female. I have a upper secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,32_,TRUE,BJP
31,33,39,female,no education,currently,in paid work,1500,town,Bihar,Sikh,General,Right / conservative,BJP,moderate trust,1,"I am 39 and I am a female. I have a no education. I am in paid work. My personal income is about 1500. I am a Sikh. I live in a town in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I voted BJP.,BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,33_,TRUE,BJP
32,34,29,female,lower secondary education,currently,in paid work,35000,country village,Bihar,Muslim,Others,Center / liberal,Regional Party,moderate trust,3,"I am 29 and I am a female. I have a lower secondary education. I am in paid work. My personal income is about 35000. I am a Muslim. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I likely voted for a Regional Party.,Regional Party,0,NA,NA,NA,NA,NA,NA,NA,NA,34_,TRUE,Unknown
33,36,40,female,bachelor,currently,in paid work,15000,country village,Bihar,Hindu,UCH (Upper Caste Hindus),Center / liberal,Regional Party,trust,3,"I am 40 and I am a female. I have a bachelor. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I voted for a Regional Party.,Regional Party,0,NA,NA,NA,NA,NA,NA,NA,NA,36_,TRUE,Unknown
34,37,24,female,lower secondary education,never,in domestic work,15000,country village,Bihar,Hindu,UCH (Upper Caste Hindus),Right / conservative,BJP,trust,3,"I am 24 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I likely voted for BJP.,BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,37_,TRUE,BJP
35,38,47,female,no education,currently,in paid work,15000,country village,Bihar,Muslim,Others,Left / center left,Congress,complete trust,3,"I am 47 and I am a female. I have a no education. I am in paid work. My personal income is about 15000. I am a Muslim. I live in a country village in Bihar. Ideologically, I am leaning Left / center left. I identify with Congress. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I cannot predict or assume personal actions or decisions without,cannot,1,I predict you voted for Congress.,Congress,0,NA,NA,NA,NA,NA,38_,TRUE,Congress
36,39,20,female,lower secondary education,never,unemployed and looking for a job,4500,country village,Bihar,Hindu,UCH (Upper Caste Hindus),Right / conservative,BJP,trust,3,"I am 20 and I am a female. I have a lower secondary education. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I voted for BJP.,BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,39_,TRUE,BJP
37,40,24,male,upper secondary education,never,unemployed and looking for a job,4500,country village,Bihar,Hindu,OBC (Other Backward Classes),Center / liberal,Regional Party,little trust,3,"I am 24 and I am a male. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","I cannot predict or assume personal actions, including voting",cannot,1,I cannot predict or assume personal actions or political choices,cannot,1,5,I cannot predict personal actions or decisions.,cannot,1,1,40_,FALSE,No vote
38,41,42,male,lower secondary education,formerly,unemployed and looking for a job,35000,country village,Bihar,Hindu,OBC (Other Backward Classes),Center / liberal,Regional Party,trust,1,"I am 42 and I am a male. I have a lower secondary education. I am unemployed and looking for a job. My personal income is about 35000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",You likely voted for a Regional Party.,Regional Party,0,NA,NA,NA,NA,NA,NA,NA,NA,41_,TRUE,Unknown
39,42,62,female,upper secondary education,never,in domestic work,4500,country village,Bihar,Hindu,OBC (Other Backward Classes),"Far left (communist, etc.)",Left front Parties/Communist Party,trust,3,"I am 62 and I am a female. I have a upper secondary education. I am in domestic work. My personal income is about 4500. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Far left (communist, etc.). I identify with Left front Parties/Communist Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I likely voted for the Left Front/Communist,Left,0,NA,NA,NA,NA,NA,NA,NA,NA,42_,TRUE,Left Front/Communist Party
40,48,32,female,upper secondary education,currently,in paid work,15000,town,Bihar,Hindu,OBC (Other Backward Classes),Left / center left,Congress,NA,3,"I am 32 and I am a female. I have a upper secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Bihar. Ideologically, I am leaning Left / center left. I identify with Congress. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Based on your profile, it is likely that you",NA,1,I likely voted for Congress.,Congress,0,NA,NA,NA,NA,NA,48_,TRUE,Congress
41,50,46,male,primary education,formerly,unemployed and looking for a job,15000,country village,Bihar,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,complete trust,4,"I am 46 and I am a male. I have a primary education. I am unemployed and looking for a job. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,50_,TRUE,BJP
42,51,35,male,lower secondary education,currently,in paid work,4500,country village,Bihar,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,complete trust,1,"I am 35 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I likely voted for BJP.,BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,51_,TRUE,BJP
43,52,51,male,upper secondary education,formerly,unemployed and looking for a job,4500,country village,Bihar,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,complete trust,2,"I am 51 and I am a male. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,52_,TRUE,BJP
44,53,43,female,primary education,never,in domestic work,15000,country village,Bihar,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,complete trust,4,"I am 43 and I am a female. I have a primary education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,53_,TRUE,BJP
