"","id","completion","matched","check_manually","Age","Sex","Education","Work","EmploymentStatus","Income","Living","State","Religion","ReligiousCaste","PoliticalAffiliation","Vote","trust","V4","V10","Selfplacement","Weight","prompt","id_sampleno","X","completion.1","matched.1","check_manually.1","X.1","completion.2","matched.2","check_manually.2","resampled"
"11",12,"I cannot predict past actions or personal choices.","cannot",1,24,"male","no education","never","unemployed and looking for a job",4500,"town","Bihar","Muslim","Others","Center / liberal","Regional Party","moderate trust",1,3,8,4.41,"I am 24 and I am a male. I have a no education. I am unemployed and looking for a job. My personal income is about 4500. I am a Muslim. I live in a town in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","12_",2,"I cannot predict or assume your actions or decisions based","cannot",1,2,"I cannot predict personal actions or political affiliations with","cannot",1,1
"12",12,"I cannot predict past actions or personal choices.","cannot",1,24,"male","no education","never","unemployed and looking for a job",4500,"town","Bihar","Muslim","Others","Center / liberal","Regional Party","moderate trust",1,3,8,4.41,"I am 24 and I am a male. I have a no education. I am unemployed and looking for a job. My personal income is about 4500. I am a Muslim. I live in a town in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","12_",5,"I cannot predict or assume your actions or decisions based","cannot",1,NA,NA,NA,NA,NA
"13",13,"I predict you voted for a regional party.","regional party",0,39,"female","upper secondary education","formerly","unemployed and looking for a job",15000,"country village","Bihar","Muslim","Others","Center / liberal","Regional Party","moderate trust",1,3,8,0.4,"I am 39 and I am a female. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 15000. I am a Muslim. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","13_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"I predict you voted for BJP.","BJP",0,41,"male","upper secondary education","currently","in paid work",15000,"town","Bihar","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","little trust",1,4,6,0.45,"I am 41 and I am a male. I have a upper secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","14_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"Yes, BJP.","BJP",0,38,"male","lower secondary education","currently","in paid work",15000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","little trust",1,2,8,0.38,"I am 38 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","15_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,"I voted for BJP.","BJP",0,35,"male","lower secondary education","currently","in paid work",15000,"town","Bihar","No religion","Others","Right / conservative","BJP","trust",2,5,8,0.4,"I am 35 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a No religion. I live in a town in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","16_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"Yes, BJP.","BJP",0,23,"female","lower secondary education","currently","in paid work",35000,"town","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","complete trust",1,5,8,0.73,"I am 23 and I am a female. I have a lower secondary education. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a town in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","17_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"Yes, BJP.","BJP",0,48,"male","primary education","currently","in paid work",15000,"town","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","moderate trust",1,5,9,1.51,"I am 48 and I am a male. I have a primary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","18_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"Yes, likely voted for a Regional Party.","Regional Party",0,37,"female","lower secondary education","currently","in paid work",15000,"town","Bihar","Hindu","OBC (Other Backward Classes)","Center / liberal","Regional Party","trust",1,5,6,0.31,"I am 37 and I am a female. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","19_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"I cannot predict individual actions or political choices.","cannot",1,41,"male","upper secondary education","formerly","unemployed and looking for a job",15000,"country village","Bihar","Hindu","UCH (Upper Caste Hindus)","Center / liberal","Regional Party","little trust",1,4,10,0.51,"I am 41 and I am a male. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","20_",3,"I cannot predict personal actions or political choices of individuals","cannot",1,3,"I cannot predict past or future actions of individuals,","cannot",1,1
"21",20,"I cannot predict individual actions or political choices.","cannot",1,41,"male","upper secondary education","formerly","unemployed and looking for a job",15000,"country village","Bihar","Hindu","UCH (Upper Caste Hindus)","Center / liberal","Regional Party","little trust",1,4,10,0.51,"I am 41 and I am a male. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","20_",6,"I cannot predict personal actions or political choices of individuals","cannot",1,NA,NA,NA,NA,NA
"22",21,"Yes, BJP.","BJP",0,25,"male","primary education","currently","in paid work",35000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP",NA,1,1,9,4.42,"I am 25 and I am a male. I have a primary education. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","21_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",22,"I likely voted for BJP.","BJP",0,27,"female","bachelor","currently","in paid work",15000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","little trust",2,-8,3,0.78,"I am 27 and I am a female. I have a bachelor. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","22_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",23,"I probably voted for BJP.","BJP",0,49,"male","bachelor","never","Other",35000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","complete trust",3,1,4,0.38,"I am 49 and I am a male. I have a bachelor. I am Other. My personal income is about 35000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","23_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",24,"Yes, BJP.","BJP",0,38,"male","lower secondary education","currently","in paid work",15000,"country village","Bihar","Hindu","Others","Right / conservative","BJP","little trust",2,1,6,0.46,"I am 38 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","24_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",25,"Yes, BJP.","BJP",0,36,"female","bachelor","currently","in paid work",35000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","moderate trust",2,1,4,0.39,"I am 36 and I am a female. I have a bachelor. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","25_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",26,"Yes, BJP.","BJP",0,24,"male","bachelor","never","unemployed and looking for a job",15000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP",NA,2,1,3,1.83,"I am 24 and I am a male. I have a bachelor. I am unemployed and looking for a job. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","26_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",27,"Yes, BJP.","BJP",0,22,"female","lower secondary education","never","in domestic work",15000,"country village","Bihar","Hindu","Others","Right / conservative","BJP",NA,2,-8,2,1.37,"I am 22 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","27_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",28,"Yes, BJP.","BJP",0,26,"male","lower secondary education","currently","in paid work",15000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","little trust",1,1,6,0.56,"I am 26 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","28_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",29,"I voted for BJP.","BJP",0,48,"female","no education","never","Other",15000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","complete trust",2,-8,2,1.6,"I am 48 and I am a female. I have a no education. I am Other. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","29_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",30,"Yes, BJP.","BJP",0,35,"female","bachelor","currently","in paid work",35000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","moderate trust",1,1,3,0.39,"I am 35 and I am a female. I have a bachelor. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","30_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",31,"I cannot predict or assume personal actions or decisions such","cannot",1,39,"female","upper secondary education","currently","in paid work",15000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Center / liberal","Regional Party","moderate trust",1,-8,4,0.35,"I am 39 and I am a female. I have a upper secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","31_",4,"I cannot provide real-time or future actions based on","cannot",1,4,"I predict you voted for a Regional Party.","Regional Party",0,1
"33",31,"I cannot predict or assume personal actions or decisions such","cannot",1,39,"female","upper secondary education","currently","in paid work",15000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Center / liberal","Regional Party","moderate trust",1,-8,4,0.35,"I am 39 and I am a female. I have a upper secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","31_",7,"I cannot provide real-time or future actions based on","cannot",1,NA,NA,NA,NA,NA
"34",32,"Yes, BJP.","BJP",0,48,"female","upper secondary education","currently","in paid work",15000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","little trust",2,1,5,0.32,"I am 48 and I am a female. I have a upper secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","32_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",33,"I voted BJP.","BJP",0,39,"female","no education","currently","in paid work",1500,"town","Bihar","Sikh","General","Right / conservative","BJP","moderate trust",1,1,2,2.58,"I am 39 and I am a female. I have a no education. I am in paid work. My personal income is about 1500. I am a Sikh. I live in a town in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","33_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",34,"I likely voted for a Regional Party.","Regional Party",0,29,"female","lower secondary education","currently","in paid work",35000,"country village","Bihar","Muslim","Others","Center / liberal","Regional Party","moderate trust",3,4,8,0.43,"I am 29 and I am a female. I have a lower secondary education. I am in paid work. My personal income is about 35000. I am a Muslim. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","34_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",36,"I voted for a Regional Party.","Regional Party",0,40,"female","bachelor","currently","in paid work",15000,"country village","Bihar","Hindu","UCH (Upper Caste Hindus)","Center / liberal","Regional Party","trust",3,2,8,0.72,"I am 40 and I am a female. I have a bachelor. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","36_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",37,"I likely voted for BJP.","BJP",0,24,"female","lower secondary education","never","in domestic work",15000,"country village","Bihar","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","trust",3,3,5,1.53,"I am 24 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","37_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",38,"I cannot predict or assume personal actions or decisions without","cannot",1,47,"female","no education","currently","in paid work",15000,"country village","Bihar","Muslim","Others","Left / center left","Congress","complete trust",3,4,8,1.82,"I am 47 and I am a female. I have a no education. I am in paid work. My personal income is about 15000. I am a Muslim. I live in a country village in Bihar. Ideologically, I am leaning Left / center left. I identify with Congress. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","38_",8,"I predict you voted for Congress.","Congress",0,NA,NA,NA,NA,NA
"40",39,"I voted for BJP.","BJP",0,20,"female","lower secondary education","never","unemployed and looking for a job",4500,"country village","Bihar","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","trust",3,3,6,1.1,"I am 20 and I am a female. I have a lower secondary education. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","39_",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",40,"I cannot predict or assume personal actions, including voting","cannot",1,24,"male","upper secondary education","never","unemployed and looking for a job",4500,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Center / liberal","Regional Party","little trust",3,4,5,0.88,"I am 24 and I am a male. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","40_",5,"I cannot predict or assume personal actions or political choices","cannot",1,5,"I cannot predict personal actions or decisions.","cannot",1,1
"42",40,"I cannot predict or assume personal actions, including voting","cannot",1,24,"male","upper secondary education","never","unemployed and looking for a job",4500,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Center / liberal","Regional Party","little trust",3,4,5,0.88,"I am 24 and I am a male. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","40_",9,"I cannot predict or assume personal actions or political choices","cannot",1,NA,NA,NA,NA,NA
"43",41,"You likely voted for a Regional Party.","Regional Party",0,42,"male","lower secondary education","formerly","unemployed and looking for a job",35000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Center / liberal","Regional Party","trust",1,2,6,0.28,"I am 42 and I am a male. I have a lower secondary education. I am unemployed and looking for a job. My personal income is about 35000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","41_",NA,NA,NA,NA,NA,NA,NA,NA,NA
