"","lfdn","Age","Sex","Education","Work","EmploymentStatus","Income","Living","State","Religion","ReligiousCaste","PoliticalAffiliation","Vote","trust","V4","V10","Selfplacement","Weight","prompt"
"13",13,39,"female","upper secondary education","formerly","unemployed and looking for a job",15000,"country village","Bihar","Muslim","Others","Center / liberal","Regional Party","moderate trust",1,3,8,0.4,"I am 39 and I am a female. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 15000. I am a Muslim. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"14",14,41,"male","upper secondary education","currently","in paid work",15000,"town","Bihar","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","little trust",1,4,6,0.45,"I am 41 and I am a male. I have a upper secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"15",15,38,"male","lower secondary education","currently","in paid work",15000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","little trust",1,2,8,0.38,"I am 38 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"16",16,35,"male","lower secondary education","currently","in paid work",15000,"town","Bihar","No religion","Others","Right / conservative","BJP","trust",2,5,8,0.4,"I am 35 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a No religion. I live in a town in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"17",17,23,"female","lower secondary education","currently","in paid work",35000,"town","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","complete trust",1,5,8,0.73,"I am 23 and I am a female. I have a lower secondary education. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a town in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"18",18,48,"male","primary education","currently","in paid work",15000,"town","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","moderate trust",1,5,9,1.51,"I am 48 and I am a male. I have a primary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"19",19,37,"female","lower secondary education","currently","in paid work",15000,"town","Bihar","Hindu","OBC (Other Backward Classes)","Center / liberal","Regional Party","trust",1,5,6,0.31,"I am 37 and I am a female. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"20",20,41,"male","upper secondary education","formerly","unemployed and looking for a job",15000,"country village","Bihar","Hindu","UCH (Upper Caste Hindus)","Center / liberal","Regional Party","little trust",1,4,10,0.51,"I am 41 and I am a male. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"21",21,25,"male","primary education","currently","in paid work",35000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP",NA,1,1,9,4.42,"I am 25 and I am a male. I have a primary education. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"22",22,27,"female","bachelor","currently","in paid work",15000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","little trust",2,-8,3,0.78,"I am 27 and I am a female. I have a bachelor. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"23",23,49,"male","bachelor","never","Other",35000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","complete trust",3,1,4,0.38,"I am 49 and I am a male. I have a bachelor. I am Other. My personal income is about 35000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"24",24,38,"male","lower secondary education","currently","in paid work",15000,"country village","Bihar","Hindu","Others","Right / conservative","BJP","little trust",2,1,6,0.46,"I am 38 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"25",25,36,"female","bachelor","currently","in paid work",35000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","moderate trust",2,1,4,0.39,"I am 36 and I am a female. I have a bachelor. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"26",26,24,"male","bachelor","never","unemployed and looking for a job",15000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP",NA,2,1,3,1.83,"I am 24 and I am a male. I have a bachelor. I am unemployed and looking for a job. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"27",27,22,"female","lower secondary education","never","in domestic work",15000,"country village","Bihar","Hindu","Others","Right / conservative","BJP",NA,2,-8,2,1.37,"I am 22 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"28",28,26,"male","lower secondary education","currently","in paid work",15000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","little trust",1,1,6,0.56,"I am 26 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"29",29,48,"female","no education","never","Other",15000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","complete trust",2,-8,2,1.6,"I am 48 and I am a female. I have a no education. I am Other. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"30",30,35,"female","bachelor","currently","in paid work",35000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","moderate trust",1,1,3,0.39,"I am 35 and I am a female. I have a bachelor. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"31",31,39,"female","upper secondary education","currently","in paid work",15000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Center / liberal","Regional Party","moderate trust",1,-8,4,0.35,"I am 39 and I am a female. I have a upper secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"32",32,48,"female","upper secondary education","currently","in paid work",15000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","little trust",2,1,5,0.32,"I am 48 and I am a female. I have a upper secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"33",33,39,"female","no education","currently","in paid work",1500,"town","Bihar","Sikh","General","Right / conservative","BJP","moderate trust",1,1,2,2.58,"I am 39 and I am a female. I have a no education. I am in paid work. My personal income is about 1500. I am a Sikh. I live in a town in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"34",34,29,"female","lower secondary education","currently","in paid work",35000,"country village","Bihar","Muslim","Others","Center / liberal","Regional Party","moderate trust",3,4,8,0.43,"I am 29 and I am a female. I have a lower secondary education. I am in paid work. My personal income is about 35000. I am a Muslim. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"36",36,40,"female","bachelor","currently","in paid work",15000,"country village","Bihar","Hindu","UCH (Upper Caste Hindus)","Center / liberal","Regional Party","trust",3,2,8,0.72,"I am 40 and I am a female. I have a bachelor. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"37",37,24,"female","lower secondary education","never","in domestic work",15000,"country village","Bihar","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","trust",3,3,5,1.53,"I am 24 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"38",38,47,"female","no education","currently","in paid work",15000,"country village","Bihar","Muslim","Others","Left / center left","Congress","complete trust",3,4,8,1.82,"I am 47 and I am a female. I have a no education. I am in paid work. My personal income is about 15000. I am a Muslim. I live in a country village in Bihar. Ideologically, I am leaning Left / center left. I identify with Congress. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"39",39,20,"female","lower secondary education","never","unemployed and looking for a job",4500,"country village","Bihar","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","trust",3,3,6,1.1,"I am 20 and I am a female. I have a lower secondary education. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"40",40,24,"male","upper secondary education","never","unemployed and looking for a job",4500,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Center / liberal","Regional Party","little trust",3,4,5,0.88,"I am 24 and I am a male. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"41",41,42,"male","lower secondary education","formerly","unemployed and looking for a job",35000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Center / liberal","Regional Party","trust",1,2,6,0.28,"I am 42 and I am a male. I have a lower secondary education. I am unemployed and looking for a job. My personal income is about 35000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"42",42,62,"female","upper secondary education","never","in domestic work",4500,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Far left (communist, etc.)","Left front Parties/Communist Party","trust",3,1,1,0.29,"I am 62 and I am a female. I have a upper secondary education. I am in domestic work. My personal income is about 4500. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Far left (communist, etc.). I identify with Left front Parties/Communist Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"48",48,32,"female","upper secondary education","currently","in paid work",15000,"town","Bihar","Hindu","OBC (Other Backward Classes)","Left / center left","Congress",NA,3,1,5,0.46,"I am 32 and I am a female. I have a upper secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Bihar. Ideologically, I am leaning Left / center left. I identify with Congress. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"50",50,46,"male","primary education","formerly","unemployed and looking for a job",15000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","complete trust",4,5,1,1.71,"I am 46 and I am a male. I have a primary education. I am unemployed and looking for a job. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"51",51,35,"male","lower secondary education","currently","in paid work",4500,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","complete trust",1,2,1,0.27,"I am 35 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"52",52,51,"male","upper secondary education","formerly","unemployed and looking for a job",4500,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","complete trust",2,5,1,0.25,"I am 51 and I am a male. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"53",53,43,"female","primary education","never","in domestic work",15000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","complete trust",4,5,1,1.76,"I am 43 and I am a female. I have a primary education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"54",54,37,"female","primary education","formerly","unemployed and looking for a job",4500,"country village","Bihar","Catholic","General","Right / conservative","BJP","complete trust",2,5,-9,1.18,"I am 37 and I am a female. I have a primary education. I am unemployed and looking for a job. My personal income is about 4500. I am a Catholic. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"55",55,38,"male","primary education","currently","in paid work",4500,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","complete trust",2,5,-9,1.36,"I am 38 and I am a male. I have a primary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"56",56,73,"male","lower secondary education","currently","in paid work",15000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","complete trust",2,5,1,0.42,"I am 73 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"57",57,58,"female","primary education","currently","in paid work",4500,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","complete trust",2,5,1,1.42,"I am 58 and I am a female. I have a primary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"58",58,38,"male","primary education","never","unemployed and looking for a job",15000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","complete trust",2,5,1,1.89,"I am 38 and I am a male. I have a primary education. I am unemployed and looking for a job. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"59",59,28,"male","lower secondary education","currently","in paid work",8000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","complete trust",2,5,1,0.4,"I am 28 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 8000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"60",60,21,"female","primary education","currently","in paid work",4500,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","little trust",4,2,1,4.07,"I am 21 and I am a female. I have a primary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"61",61,27,"male","lower secondary education","never","unemployed and looking for a job",15000,"country village","Bihar","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","complete trust",4,5,1,0.56,"I am 27 and I am a male. I have a lower secondary education. I am unemployed and looking for a job. My personal income is about 15000. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"62",62,31,"female","lower secondary education","currently","in paid work",4500,"country village","Bihar","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","complete trust",2,5,8,0.3,"I am 31 and I am a female. I have a lower secondary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Bihar. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
