,id,completion,matched,check_manually
144,758_,I cannot predict or assume personal actions or decisions.,cannot,1
145,759_,I cannot predict past actions or personal decisions.,cannot,1
146,760_,I cannot provide the specific information on whether you voted,cannot,1
147,766_,You likely voted for BJP.,BJP,0
148,768_,I predict you voted for Left Front Parties/Comm,Left Front Parties,0
149,772_,I cannot predict or assume personal actions or political affili,cannot,1
150,791_,I voted for BJP.,BJP,0
151,793_,I likely voted for Congress.,Congress,0
152,795_,I likely voted for BJP.,BJP,0
153,805_,I likely voted for the Communist Party.,Communist Party,0
154,811_,"Yes, BJP.",BJP,0
155,822_,I predict you voted for Congress.,Congress,0
156,831_,I likely voted for BJP.,BJP,0
157,833_,I cannot predict personal actions or political decisions.,cannot,1
158,836_,I cannot predict your actions or political choices.,cannot,1
159,840_,I predict you voted for a Regional Party.,Regional Party,0
160,841_,I likely voted for a Regional Party.,Regional Party,0
161,842_,I cannot predict past actions or personal decisions.,cannot,1
162,843_,I cannot predict individual actions or decisions.,cannot,1
163,844_,I cannot predict personal actions or political preferences.,cannot,1
164,846_,You likely voted for the Regional Party.,Regional Party,0
165,847_,I can't specify or assume specific actions based on,NA,1
166,851_,I likely voted for BJP.,BJP,0
167,871_,"Yes, BJP.",BJP,0
168,882_,I voted for BJP.,BJP,0
169,884_,I cannot vote. (As of my last update,cannot,1
170,885_,I voted for a Regional Party.,Regional Party,0
171,889_,I cannot predict personal actions or political preferences.,cannot,1
172,890_,I cannot predict individual voting behavior.,cannot,1
173,891_,I cannot predict personal actions or political choices.,cannot,1
174,892_,I likely voted for a Regional Party.,Regional Party,0
175,893_,I cannot predict personal actions or political affiliations of,cannot,1
176,894_,I cannot predict individual actions in past events.,cannot,1
177,895_,"I cannot predict or infer personal actions or decisions,",cannot,1
178,896_,I cannot predict past actions or private decisions such as,cannot,1
179,898_,I cannot predict personal actions or decisions.,cannot,1
180,901_,I cannot predict or assume personal actions or political choices,cannot,1
181,926_,I cannot predict or assume past actions or decisions.,cannot,1
182,943_,I likely voted for BJP.,BJP,0
183,948_,I voted for BJP.,BJP,0
184,950_,I likely voted for a Third Front party.,Third Front,0
185,956_,"Yes, BJP.",BJP,0
186,965_,I probably voted for BJP.,BJP,0
187,976_,I cannot predict individual actions or votes.,cannot,1
188,981_,I cannot predict or assume personal actions or political preferences,cannot,1
189,982_,I likely voted for BJP.,BJP,0
190,983_,I cannot predict personal actions or decisions.,cannot,1
191,984_,I cannot determine.,cannot,1
192,995_,I cannot predict or assume past actions or decisions including,cannot,1
193,996_,I likely voted for BJP.,BJP,0
194,998_,"I cannot predict individual behaviors or actions, including voting",cannot,1
195,1000_,I cannot predict or infer specific individual actions or decisions,cannot,1
196,1006_,I cannot predict or assume past actions or decisions of,cannot,1
197,1008_,I predict you voted for a Third Front party.,Third Front,0
198,1011_,I cannot predict individual actions or voting behavior.,cannot,1
199,1012_,"I cannot predict or assume personal actions or decisions,",cannot,1
200,1018_,I cannot access or predict past actions or thoughts of,cannot,1
201,1024_,I cannot predict or infer personal actions or voting behavior,cannot,1
202,1027_,I cannot predict personal actions or political preferences.,cannot,1
203,1028_,I cannot access real-time or personal data or make,cannot,1
204,1030_,I cannot predict or assume personal actions or political preferences,cannot,1
205,1032_,I cannot predict or assume personal actions or political choices,cannot,1
206,1037_,"Yes, BJP.",BJP,0
207,1058_,I cannot predict or assume your actions in past events,cannot,1
208,1067_,I cannot predict or assume specific actions or behaviors of,cannot,1
209,1068_,I cannot predict individual actions or decisions.,cannot,1
210,1069_,"Yes, likely voted for a Third Front party.",Third Front,0
211,1075_,"Based on the information provided, it's highly likely",NA,1
212,1080_,I voted for BJP.,BJP,0
213,1081_,"Yes, likely voted for a Third Front party.",Third Front,0
214,1082_,I cannot predict or assume personal actions or political affili,cannot,1
215,1088_,voted for the Left Front/Communist Party,Left Communist Party,0
216,1089_,I cannot predict actions or political choices of individuals.,cannot,1
217,1090_,I cannot predict past actions of individuals.,cannot,1
218,1097_,"Yes, likely voted for a Regional Party.",Regional Party,0
219,1105_,I predict you voted for BJP.,BJP,0
220,1107_,I likely voted for the Communist Party.,Communist Party,0
221,1110_,I likely voted for BJP.,BJP,0
222,1111_,I cannot accurately predict personal actions or specific events for,cannot,1
223,1113_,I cannot predict or assume past actions or decisions.,cannot,1
224,1114_,I cannot predict or assume individual actions or decisions such,cannot,1
225,1115_,I cannot predict or assume specific actions or decisions made,cannot,1
226,1116_,"Yes, regional party.",regional party,0
227,1118_,I cannot predict personal actions or voting behavior.,cannot,1
228,1119_,voted for a Regional Party.,Regional Party,0
229,1120_,voted for a Regional Party.,Regional Party,0
230,1122_,"I cannot predict individual actions, including voting behavior.",cannot,1
231,1124_,I cannot provide real-time or future actions of specific,cannot,1
232,1126_,I cannot predict or assume personal actions or political choices,cannot,1
233,1128_,I voted for a Third Front party.,Third Front,0
234,1131_,I likely voted for BJP.,BJP,0
235,1132_,I cannot predict past actions or personal decisions.,cannot,1
236,1133_,"I cannot predict or assume personal actions or preferences,",cannot,1
237,1134_,I cannot predict personal actions or political choices.,cannot,1
238,1136_,I predict you voted for a Regional Party.,Regional Party,0
239,1139_,I probably voted for the regional party.,regional party,0
240,1140_,I cannot precisely predict personal actions or choices.,cannot,1
241,1142_,I cannot predict personal actions or political choices.,cannot,1
242,1143_,I voted for the Left Front.,Left,0
243,1147_,I predict you voted for the Left Front.,Left,0
244,1150_,"Yes, likely voted for a Regional Party.",Regional Party,0
245,1151_,I cannot predict.,cannot,1
246,1156_,I probably voted for Congress.,Congress,0
247,1161_,"I cannot assume or predict individual actions or decisions,",cannot,1
248,1162_,I likely voted for Congress.,Congress,0
249,1166_,I predict you voted for Congress.,Congress,0
250,1176_,I voted for BJP.,BJP,0
251,1177_,I voted for Congress.,Congress,0
252,1195_,"Yes, BJP.",BJP,0
253,1205_,I likely voted for Congress.,Congress,0
254,1208_,I likely voted for the Communist Party.,Communist Party,0
255,1210_,I likely voted for BJP.,BJP,0
256,1213_,I cannot access or predict past personal actions or decisions,cannot,1
257,1240_,I cannot predict or assume your actions or preferences based,cannot,1
258,1242_,I likely voted for BJP.,BJP,0
259,1246_,I cannot predict your actions or decisions.,cannot,1
260,1247_,I voted for BJP.,BJP,0
261,1250_,I cannot predict past actions or personal decisions.,cannot,1
262,1253_,I likely voted for a Third Front party.,Third Front,0
263,1254_,I cannot access personal voting information or make assumptions about,cannot,1
264,1256_,I cannot predict your actions or political choices.,cannot,1
265,1258_,I cannot predict or make assumptions about personal actions or,cannot,1
266,1260_,I cannot predict personal actions or decisions.,cannot,1
267,1265_,I cannot predict or assume specific individual actions or decisions,cannot,1
268,1284_,I predict you likely voted for a Regional Party.,Regional Party,0
269,1286_,I [likely voted for a Regional Party].,Regional Party,0
270,1287_,I cannot predict or assume personal actions or political affili,cannot,1
271,1288_,I cannot predict past actions.,cannot,1
272,1290_,I likely voted for a Regional Party.,Regional Party,0
273,1293_,"Yes, BJP.",BJP,0
274,1294_,I cannot predict individual actions or political affiliations with,cannot,1
275,1295_,I likely voted for a Regional Party.,Regional Party,0
276,1300_,"I cannot accurately predict individual voting behaviors, but based",cannot,1
277,1301_,I cannot predict or assume personal actions or decisions.,cannot,1
278,1304_,I predict you voted for a Regional Party.,Regional Party,0
279,1305_,I cannot speculate on specific individual actions or decisions.,cannot,1
280,1308_,I likely voted for a Regional Party.,Regional Party,0
281,1309_,I cannot predict past actions or personal choices.,cannot,1
282,1310_,I cannot access personal voting records or make assumptions about,cannot,1
